KdNr;Kurzname;Name1;Name2;KdId;Status;
"494";"patiodoc AG";"patiodoc AG";;"1003";"inaktiv";
"487";"ZfP Zentrum";"ZfP Südwürttemberg";;"1002";"inaktiv";
"952";"Diakovere Hannover";"DIAKOVERE Krankenhaus gGmbH Henriettenstift – Klinik für Diagnostische und Interventionelle Radiologie";;"1001";"aktiv";
"478";"ZI-Mannheim";"Zentralinstitut für Seelische Gesundheit";;"1000";"aktiv";
"474";"Mammographie Ostsachsen";"Mammographie Ostsachsen";;"999";"aktiv";
"476";"Accenture";"Accenture AG";;"998";"inaktiv";
"493";"Balingen";"Zollernalb Klinikum gGmbH";;"997";"aktiv";
"475";"Radiologie Dresden";"Überörtliche Gemeinschaftspraxis Radiologie";;"996";"aktiv";
"468";"Radiologie Saarbrücken";"Privatärztl. Radiologische Praxis";"PD Dr. Jäger und Partner";"995";"inaktiv";
"615";"Cellitinnen";"Stiftung der Cellitinnen zur hl. Maria";;"1238";"inaktiv";
"500";"Bathildiskrankenhaus";"Ev. Bathildiskrankenhaus";"Bad Pyrmont gGmbH";"994";"inaktiv";
"500";"Druckhaus.de_L-Druck GmbH";"L-Druck GmbH";;"993";"aktiv";
"467";"Mammographie Leipzig";"Mammographie-Screening-Einheit 2 Leipzig";;"992";"aktiv";
"470";"WKK Heide";"Westküstenklinikum Heide";;"991";"aktiv";
"500";"Röntgeninstitut Düsseldorf";"Röntgeninstitut Düsseldorf";;"990";"inaktiv";
"489";"Paulinenkrankenhaus";"Sana Paulinenkrankenhaus gGmbH";"Dickensweg 25-39";"989";"aktiv";
"500";"betahaus";"betahaus Hamburg GmbH & Co. KG";;"988";"aktiv";
"500";"TeamDrive";"TeamDrive Systems GmbH";;"987";"aktiv";
"500";"notebooksbilliger";"notebooksbilliger.de AG";;"986";"aktiv";
"462";"Ambicotec";"Ambicotec GmbH";;"985";"inaktiv";
"500";"Maria Hilf NRW";"Maria Hilf NRW gGmbH";;"984";"inaktiv";
"500";"Wesseling";"Dreifaltigkeits-Krankenhaus Wesseling";;"983";"inaktiv";
"497";"Stadtreinigung";"Stadtreinigung Hamburg";;"982";"inaktiv";
